wave(nm)	 AOI	 P반사율	 S반사율
356.754364013672	 54	 0.625245388630749	 0.850350658885542
356.754364013672	 56	 0.610304491228986	 0.857079208510066
356.754364013672	 58	 0.593751994507269	 0.864023790918284
356.754364013672	 60	 0.575360315198428	 0.87118022443691
356.754364013672	 62	 0.554860114251368	 0.878544002224437
356.754364013672	 64	 0.531933114222189	 0.886110278220716
356.754364013672	 66	 0.506205897890769	 0.893873853459744
356.754364013672	 68	 0.477248600802585	 0.901829162845366
356.754364013672	 70	 0.44458881504952	 0.90997026249368
356.754364013672	 72	 0.4077682435248	 0.918290817749733
356.754364013672	 74	 0.366518819639513	 0.926784091989472
356.754364013672	 76	 0.321285051025459	 0.935442936320871
356.754364013672	 78	 0.274792354739609	 0.944259780300489
356.754364013672	 80	 0.236587455778459	 0.953226623783503
