wavelength(nm)	n	k
818.59292	1.9192653620330626	3.033061968844108E-07
820.159961	1.919779085937524	1.804614842986851E-07
821.726855	1.9197877709639397	1.6033643248923325E-07
823.293555	1.9193286480545932	4.235520484287488E-07
824.860254	1.9182961992312222	3.2918338897211514E-07
826.426758	1.9180708703568448	2.823408901623449E-07
827.993066	1.918744066416956	4.966187295673595E-07
829.559375	1.9192843358373095	1.3022897373174684E-07
831.125488	1.9193750588053295	-3.44494018106993E-08
832.691504	1.9189909191591679	2.0629957111334235E-08
834.257324	1.9180726519825013	2.5949147848135566E-09
835.823145	1.9175523986711787	-5.875149795882726E-10
837.38877	1.918105827319114	1.6117125286175578E-10
838.954199	1.9187626057665454	-4.5049981449401486E-11
840.519531	1.9189638940784242	1.252960504648497E-11
842.084863	1.918722980077941	-3.4754338292217784E-12
843.649902	1.918009985960648	9.618672390856633E-13
845.214941	1.9171460039476775	-2.6552860424306827E-13
846.779785	1.9173746980852209	7.313405178427197E-14
848.344531	1.9181569205265294	-2.0095503886418298E-14
849.90918	1.9185047930955608	5.508124745922518E-15
851.473633	1.9184616931305993	-1.5036208669037677E-15
853.037988	1.9180072165832922	3.994541866115985E-16
854.602246	1.9170029122584642	-6.911133882748627E-17
856.166406	1.9166451976908132	-1.2561454228999468E-16
857.730371	1.9173843300052713	5.606356400529504E-16
859.294238	1.9179240383167886	-2.0288376910502354E-15
860.858008	1.918136232064462	7.32243664176608E-15
862.421582	1.9179154231077347	-2.6340074201376484E-14
863.985156	1.9172733612413257	9.469170667806444E-14
865.548535	1.9164249784413943	-3.321265871363873E-13
867.111816	1.9163552419594114	1.1819046872248907E-12
868.675	1.9171753563531049	-4.096275942096959E-12
870.237988	1.917590716634404	1.4419925944284094E-11
871.800879	1.9177073128986388	-4.924253647931233E-11
873.363672	1.9173924915389484	1.7110114849440487E-10
874.926367	1.9166823905176895	-5.739830986926141E-10
876.488965	1.9158911568923482	1.8953150302034153E-09
878.051367	1.9161077263961253	-6.393384381781932E-09
879.613672	1.9168022118907884	2.09719133991493E-08
881.175879	1.917200710907833	1.1224878163176539E-07
882.737988	1.917285953594845	7.216169623237066E-09
884.3	1.9169555889118903	-4.423627958431464E-08
885.861914	1.9162797808996426	1.2219458040792167E-07
887.423633	1.9154031511952545	2.1609255151141583E-06
888.985254	1.9157045702672466	-2.6770577768975254E-08
890.546777	1.9163621429460063	-3.915287470224613E-09
892.108203	1.9167809627142207	4.268418342017943E-09
893.669531	1.9168966135335055	-2.069237683299126E-09
895.230762	1.9166181553729957	8.330077800053913E-10
896.791797	1.9160459200925015	-3.921728595696315E-10
898.352832	1.9151077946462027	4.548373312708633E-10
899.913672	1.91518217400551	-1.5519871073126257E-09
901.474414	1.9158303313377631	6.159345322701809E-09
903.035059	1.9163030595309105	-2.5099787997215612E-08
904.595605	1.916517644273619	1.901905508328111E-07
906.156055	1.9163533433305981	6.531386865392767E-08
907.716406	1.9158754646411786	-1.836957964695744E-08
909.27666	1.9150462925873004	6.154663660492683E-09
910.836816	1.9146336949403715	-4.5800766734784976E-09
912.396777	1.9151192771721763	1.1713458391227706E-08
913.956738	1.915724884095771	-4.171212946765765E-08
915.516602	1.9160350107897297	2.001613960311882E-07
917.07627	1.916057921002348	1.821307446075239E-07
918.635938	1.9157323951221163	-4.006818924751851E-08
920.195508	1.9151103124543247	1.0401252581018135E-08
921.754883	1.914350591240249	8.792746213373797E-10
923.314258	1.9142911320198246	3.225808516712229E-08
924.873437	1.9149916623449912	-3.262412101224819E-08
926.432617	1.9154381026096967	1.4745226566105363E-07
927.991699	1.915665329431488	3.6576795689415145E-07
929.550684	1.9155813486223403	1.430414134774213E-07
931.109473	1.9151987932022554	4.187941697625322E-07
932.668262	1.9145053307256863	-3.032123028075876E-08
934.226953	1.9137648501310398	1.2443268089553209E-07
